state,total_enrolments,total_demographic_updates,total_biometric_updates,update_to_enrolment_ratio
100000,218.0,2.0,,
Andaman & Nicobar Islands,114.0,1059.0,2384.0,30.20175438596491
Andaman and Nicobar Islands,397.0,6187.0,18314.0,61.71536523929471
Andhra Pradesh,127681.0,2295505.0,3714592.0,47.07119305143287
Arunachal Pradesh,4344.0,36443.0,72394.0,25.054558011049725
Assam,230197.0,1012578.0,982722.0,8.667793237965743
Bihar,609585.0,4814350.0,4897587.0,15.932047212447813
Chandigarh,2723.0,83361.0,74482.0,57.96658097686375
Chhattisgarh,103219.0,2005434.0,2648729.0,45.09017719605887
Dadra & Nagar Haveli,25.0,235.0,553.0,31.52
Dadra and Nagar Haveli,744.0,6033.0,27235.0,44.715053763440864
Dadra and Nagar Haveli and Daman and Diu,173.0,3740.0,2532.0,36.25433526011561
Daman & Diu,21.0,644.0,2185.0,134.71428571428572
Daman and Diu,120.0,1552.0,6763.0,69.29166666666667
Delhi,94529.0,1438934.0,1304362.0,29.02068148398904
Goa,2333.0,35120.0,68397.0,44.37076725246464
Gujarat,280549.0,1824327.0,3196514.0,17.896485105988614
Haryana,98252.0,1166140.0,1635454.0,28.514371208728576
Himachal Pradesh,17486.0,149214.0,396234.0,31.19341187235503
Jammu & Kashmir,155.0,426.0,429.0,5.516129032258065
Jammu And Kashmir,950.0,,,
Jammu and Kashmir,47991.0,406776.0,791218.0,24.962888874997397
Jharkhand,157539.0,1401189.0,2026297.0,21.756428566894545
Karnataka,223235.0,1695285.0,2635954.0,19.402150200461396
Kerala,75002.0,744952.0,1609730.0,31.394922802058613
Ladakh,617.0,5735.0,5763.0,18.635332252836303
Lakshadweep,203.0,1176.0,4820.0,29.536945812807883
Madhya Pradesh,493970.0,2912938.0,5923771.0,17.889161285098286
Maharashtra,369139.0,5054602.0,9226139.0,38.686622112537556
Manipur,13456.0,301549.0,282587.0,43.410820451843044
Meghalaya,109771.0,87378.0,87626.0,1.5942644232083154
Mizoram,5926.0,41906.0,120329.0,27.376814039824502
Nagaland,15587.0,36791.0,109593.0,9.391415923526015
ODISHA,1.0,50.0,34.0,84.0
Odisha,118837.0,1083237.0,2402827.0,29.334836793254627
Orissa,4149.0,28758.0,62083.0,21.894673415280792
Pondicherry,1272.0,7459.0,27587.0,27.55188679245283
Puducherry,1745.0,25304.0,42321.0,38.75358166189112
Punjab,76746.0,881895.0,1739671.0,34.15899199958304
Rajasthan,348458.0,2817615.0,3994955.0,19.550620160822824
Sikkim,2207.0,20340.0,22820.0,19.55595831445401
Tamil Nadu,220789.0,2212228.0,4698117.0,31.298411605650642
Telangana,131574.0,1629908.0,1737654.0,25.594433550701506
The Dadra And Nagar Haveli And Daman And Diu,716.0,,,
Tripura,11285.0,138013.0,292155.0,38.11856446610545
Uttar Pradesh,1018629.0,8542328.0,9577735.0,17.788677722703753
Uttarakhand,37698.0,463637.0,764763.0,32.58528303888801
WEST BENGAL,4.0,71.0,37.0,27.0
WESTBENGAL,1.0,57.0,12.0,69.0
West  Bengal,15.0,107.0,28.0,9.0
West Bangal,10.0,157.0,54.0,21.1
West Bengal,375297.0,3872172.0,2524448.0,17.044154363077777
West bengal,7.0,60.0,20.0,11.428571428571429
Westbengal,6.0,95.0,19.0,19.0
andhra pradesh,5.0,77.0,41.0,23.6
BALANAGAR,,2.0,,
Chhatisgarh,,4.0,5.0,
Darbhanga,,2.0,,
Jaipur,,2.0,,
Madanapalle,,2.0,,
Nagpur,,1.0,,
Puttenahalli,,1.0,,
Raja Annamalai Puram,,1.0,,
Uttaranchal,,5.0,2.0,
West Bengli,,3.0,,
odisha,,20.0,16.0,
west Bengal,,15.0,1.0,
Tamilnadu,,,1.0,
